2019-06-20 13:50:20.003 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Starting Xu7xWebApplication on 29PF5V6RCXNKKYB with PID 10412 (D:\xucode\my\xu7x\xu7x-web\target\classes started by Administrator in D:\xucode\my\xu7x\xu7x-web)
2019-06-20 13:50:20.035 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - The following profiles are active: linux
2019-06-20 13:50:25.612 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Started Xu7xWebApplication in 6.343 seconds (JVM running for 8.404)
2019-06-20 13:52:08.591 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Starting Xu7xWebApplication on 29PF5V6RCXNKKYB with PID 14216 (D:\xucode\my\xu7x\xu7x-web\target\classes started by Administrator in D:\xucode\my\xu7x\xu7x-web)
2019-06-20 13:52:08.591 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - The following profiles are active: linux
2019-06-20 13:52:14.043 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Started Xu7xWebApplication in 6.311 seconds (JVM running for 8.444)
2019-06-20 13:55:10.391 [http-nio-80-exec-7] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 13:55:12.427 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 13:55:12.427 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 13:55:12.427 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 13:55:12.427 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 13:55:12.427 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 13:55:12.427 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 13:55:12.427 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 13:55:12.427 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 13:55:12.427 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 13:59:45.952 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Starting Xu7xWebApplication on 29PF5V6RCXNKKYB with PID 11104 (D:\xucode\my\xu7x\xu7x-web\target\classes started by Administrator in D:\xucode\my\xu7x\xu7x-web)
2019-06-20 13:59:45.952 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - The following profiles are active: linux
2019-06-20 13:59:51.014 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Started Xu7xWebApplication in 5.749 seconds (JVM running for 7.825)
2019-06-20 14:00:02.311 [http-nio-80-exec-3] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:00:06.523 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:00:06.523 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:00:06.523 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:00:06.523 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:00:06.523 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:00:06.523 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:00:06.523 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:00:06.523 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:00:06.523 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:00:34.879 [http-nio-80-exec-5] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:00:34.884 [http-nio-80-exec-5] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:00:34.884 [http-nio-80-exec-5] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:00:34.885 [http-nio-80-exec-5] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
